id;descripcion;identificacion;identificacion_tipo;direccion
1;Credit Card AccountXXXXXXXXXXXXXXXXXXXXX;Tools Handmade;CUIT;Operative Green IncredibleXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
2;payment capabilityXXXXXXXXXXXXXXXXXXXXXX;Quality;CUIL;Fantastic Vermont KeysXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
3;Accounts redundant GlovesXXXXXXXXXXXXXXX;cross-platform synthesize Specialist;DNI;Music feed North DakotaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
4;Auto Loan Account blueXXXXXXXXXXXXXXXXXX;CSS Bedfordshire;CUIL;ProductXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
5;Intelligent Granite SolutionsXXXXXXXXXXX;Frozen;CUIL;orange BuckinghamshireXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
6;lime Home Loan Account Investment Account;Savings Account interactive;CUIL;alliance auxiliaryXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
7;Assurance Cambridgeshire multi-stateXXXX;calculate;CUIL;Practical Metal Keyboard 24/365 cultivateXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
8;stickyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;Investment Account client-driven Investment Account;CUIT;wirelessXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
9;multi-state paymentXXXXXXXXXXXXXXXXXXXXX;microchip Route Salad;CUIT;Unbranded Sleek Wooden Tuna Credit Card AccountXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
10;Extensions vertical withdrawalXXXXXXXXXX;implement;DNI;Tools SleekXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
